name;chef_lieu; superficie ; population ;rank
Bas-Uele;Buta; 148 331 ; 1 138 000 ;
Équateur;Mbandaka; 103 902 ; 1 528 000 ;
Haut-Katanga;Lubumbashi; 132 425 ; 4 617 000 ;
Haut-Lomami;Kamina; 108 204 ; 2 957 000 ;
Haut-Uele;Isiro; 89 683 ; 1 864 000 ;
Ituri;Bunia; 65 658 ; 3 650 000 ;
Kasaï;Tshikapa; 95 631 ; 2 801 000 ;
Kasaï central;Kananga; 60 958 ; 3 317 000 ;
Kasaï oriental;Mbuji-Mayi; 9 481 ; 3 145 000 ;
Kinshasa;Kinshasa; 9 965 ; 11 575 000 ;
Kongo-Central;Matadi; 53 920 ; 5 575 000 ;
Kwango;Kenge; 89 974 ; 2 152 000 ;
Kwilu;Bandundu; 78 219 ; 5 490 000 ;
Lomami;Kabinda; 56 426 ; 2 443 000 ;
Lualaba;Kolwezi; 121 308 ; 2 570 000 ;
Mai-Ndombe;Inongo; 127 465 ; 1 852 000 ;
Maniema;Kindu; 132 520 ; 2 333 000 ;
Mongala;Lisala; 58 141 ; 1 740 000 ;
Nord-Kivu;Goma; 59 483 ; 6 655 000 ;
Nord-Ubangi;Gbadolite; 56 644 ; 1 269 000 ;
Sankuru;Lusambo; 104 331 ; 2 110 000 ;
Sud-Kivu;Bukavu; 65 070 ; 5 772 000 ;
Sud-Ubangi;Gemena; 51 648 ; 2 458 000 ;
Tanganyika;Kalemie; 134 940 ; 3 062 000 ;
Tshopo;Kisangani; 199 567 ; 2 352 000 ;
Tshuapa;Boende; 132 957 ; 1 600 000 ;
